Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.52588e-05, IMG_DATA, , , , , , , , , , Image_00000 
1.13917, IMU_DATA, 0.406875, -0.336875, 0.315, 16379, -198, 462, , , , , 
1.14397, IMU_DATA, 0.380625, -0.65625, -0.021875, 16296, -3, 478, , , , , 
1.08102, IMG_DATA, , , , , , , , , , Image_00011 
1.14877, IMU_DATA, 0.525, -1.21187, -0.389375, 16387, 6, 252, , , , , 
1.15357, IMU_DATA, 0.529375, -1.6975, -0.35, 16468, -6, 174, , , , , 
1.15837, IMU_DATA, 0.35875, -1.84187, -0.240625, 16439, 114, 67, , , , , 
1.16317, IMU_DATA, 0.315, -1.9075, -0.14875, 16405, 75, -86, , , , , 
1.16797, IMU_DATA, 0.315, -1.995, 0.035, 16394, -40, -177, , , , , 
1.17277, IMU_DATA, 0.354375, -2.09562, 0.074375, 16328, -6, -321, , , , , 
1.17757, IMU_DATA, 0.42875, -2.15687, -0.065625, 16297, 27, -459, , , , , 
1.18237, IMU_DATA, 0.5075, -2.15687, -0.06125, 16300, -57, -577, , , , , 
1.18717, IMU_DATA, 0.555625, -2.14375, 0.004375, 16358, -45, -705, , , , , 
1.19197, IMU_DATA, 0.5425, -2.14812, -0.004375, 16380, -50, -829, , , , , 
1.19677, IMU_DATA, 0.529375, -2.12187, 0.021875, 16499, -179, -1036, , , , , 
1.20157, IMU_DATA, 0.42875, -1.93375, -0.004375, 16493, -190, -1095, , , , , 
1.20637, IMU_DATA, 0.354375, -1.68, -0.258125, 16340, 18, -1005, , , , , 
1.21117, IMU_DATA, 0.42875, -1.4875, -0.328125, 16352, -70, -1277, , , , , 
1.21597, IMU_DATA, 0.564375, -1.37375, -0.09625, 16425, -245, -1375, , , , , 
1.22077, IMU_DATA, 0.520625, -1.04125, -0.196875, 16318, 15, -1150, , , , , 
1.22557, IMU_DATA, 0.385, -0.573125, -0.58625, 16256, 181, -1262, , , , , 
1.23037, IMU_DATA, 0.4025, -0.275625, -0.44625, 16364, -34, -1279, , , , , 
1.23517, IMU_DATA, 0.406875, 0.0, -0.179375, 16371, -37, -988, , , , , 
1.23997, IMU_DATA, 0.42, 0.315, -0.2275, 16336, 93, -844, , , , , 
1.24477, IMU_DATA, 0.6125, 0.42, -0.28875, 16396, 26, -692, , , , , 
1.24957, IMU_DATA, 0.686875, 0.55125, -0.2625, 16431, 33, -536, , , , , 
1.18103, IMG_DATA, , , , , , , , , , Image_00012 
1.25437, IMU_DATA, 0.634375, 0.581875, -0.3325, 16401, 96, -370, , , , , 
1.25917, IMU_DATA, 0.581875, 0.56875, -0.30625, 16417, 56, -300, , , , , 
1.26397, IMU_DATA, 0.63, 0.53375, -0.179375, 16422, 10, -205, , , , , 
1.26877, IMU_DATA, 0.529375, 0.44625, -0.196875, 16374, 75, -65, , , , , 
1.27357, IMU_DATA, 0.406875, 0.34125, -0.2625, 16363, 63, 10, , , , , 
1.27837, IMU_DATA, 0.41125, 0.20125, -0.275625, 16372, 87, 52, , , , , 
1.28317, IMU_DATA, 0.4725, -0.030625, -0.18375, 16391, 74, 103, , , , , 
1.28797, IMU_DATA, 0.46375, -0.231875, -0.11375, 16377, 123, 129, , , , , 
1.29277, IMU_DATA, 0.590625, -0.44625, -0.1575, 16349, 155, 90, , , , , 
1.29757, IMU_DATA, 0.67375, -0.643125, -0.16625, 16357, 118, 13, , , , , 
1.30237, IMU_DATA, 0.616875, -0.7175, -0.02625, 16310, 61, 49, , , , , 
1.30717, IMU_DATA, 0.6475, -0.8925, 0.06125, 16333, 61, -7, , , , , 
1.31197, IMU_DATA, 0.686875, -1.12875, 0.09625, 16385, 23, -30, , , , , 
1.31677, IMU_DATA, 0.70875, -1.28625, 0.118125, 16438, -14, -43, , , , , 
1.32157, IMU_DATA, 0.67375, -1.33437, 0.083125, 16454, 10, -113, , , , , 
1.32637, IMU_DATA, 0.625625, -1.42625, 0.0175, 16442, 85, -146, , , , , 
1.33117, IMU_DATA, 0.546875, -1.60562, -0.013125, 16406, 100, -214, , , , , 
1.33597, IMU_DATA, 0.503125, -1.79812, 0.035, 16355, 62, -319, , , , , 
1.34077, IMU_DATA, 0.389375, -1.715, 0.153125, 16302, -20, -429, , , , , 
1.34557, IMU_DATA, 0.4025, -1.62312, 0.315, 16317, -101, -570, , , , , 
