Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.0, IMG_DATA, , , , , , , , , , Image_00000 
1.00103, IMU_DATA, 0.485625, -0.56875, 0.275625, 16385, -133, -157, , , , , 
1.00583, IMU_DATA, 0.398125, -0.46375, 0.4025, 16387, -154, -155, , , , , 
1.01063, IMU_DATA, 0.44625, -0.58625, 0.44625, 16381, -194, -118, , , , , 
1.01543, IMU_DATA, 0.581875, -0.730625, 0.371875, 16352, -212, -131, , , , , 
1.02023, IMU_DATA, 0.665, -0.774375, 0.32375, 16382, -262, -131, , , , , 
1.02503, IMU_DATA, 0.573125, -0.65625, 0.315, 16324, -329, -104, , , , , 
1.02983, IMU_DATA, 0.455, -0.564375, 0.258125, 16366, -360, -120, , , , , 
1.03463, IMU_DATA, 0.485625, -0.678125, 0.188125, 16352, -390, -115, , , , , 
1.03943, IMU_DATA, 0.581875, -0.791875, 0.105, 16376, -426, -127, , , , , 
1.04423, IMU_DATA, 0.651875, -0.86625, 0.004375, 16393, -427, -109, , , , , 
1.04903, IMU_DATA, 0.564375, -0.72625, -0.0175, 16393, -448, -110, , , , , 
1.05383, IMU_DATA, 0.42, -0.590625, -0.030625, 16423, -470, -81, , , , , 
1.05863, IMU_DATA, 0.371875, -0.70875, -0.135625, 16363, -381, -172, , , , , 
1.06343, IMU_DATA, 0.51625, -0.83125, -0.266875, 16244, -144, -93, , , , , 
1.00589, IMG_DATA, , , , , , , , , , Image_00010 
1.06823, IMU_DATA, 0.53375, -0.77875, 0.135625, 16504, -559, -137, , , , , 
1.07303, IMU_DATA, 0.546875, -0.826875, 0.21875, 16521, -555, -257, , , , , 
1.07783, IMU_DATA, 0.538125, -0.721875, -0.800625, 16287, -20, -207, , , , , 
1.08263, IMU_DATA, 0.459375, -0.53375, -1.4, 16261, -10, -145, , , , , 
1.08743, IMU_DATA, 0.424375, -0.67375, -0.7525, 16416, -239, -255, , , , , 
1.09223, IMU_DATA, 0.450625, -0.896875, -0.09625, 16401, -150, -244, , , , , 
1.09703, IMU_DATA, 0.44625, -0.966875, -0.048125, 16404, -66, -200, , , , , 
1.10183, IMU_DATA, 0.424375, -0.9275, -0.135625, 16415, -88, -225, , , , , 
1.10663, IMU_DATA, 0.468125, -0.86625, -0.13125, 16435, -113, -241, , , , , 
1.11143, IMU_DATA, 0.49875, -0.853125, -0.144375, 16435, -114, -226, , , , , 
1.11623, IMU_DATA, 0.385, -0.704375, -0.25375, 16352, -14, -184, , , , , 
1.12103, IMU_DATA, 0.44625, -0.63875, -0.32375, 16388, -58, -246, , , , , 
1.12583, IMU_DATA, 0.538125, -0.56, -0.23625, 16362, -63, -221, , , , , 
1.13063, IMU_DATA, 0.525, -0.529375, -0.175, 16341, -66, -190, , , , , 
1.13543, IMU_DATA, 0.476875, -0.520625, -0.09625, 16389, -145, -202, , , , , 
1.14023, IMU_DATA, 0.48125, -0.49, -0.013125, 16370, -184, -159, , , , , 
1.14503, IMU_DATA, 0.46375, -0.41125, -0.056875, 16429, -134, -153, , , , , 
1.14983, IMU_DATA, 0.520625, -0.48125, -0.21, 16384, -158, -125, , , , , 
1.15463, IMU_DATA, 0.590625, -0.56875, -0.245, 16436, -145, -150, , , , , 
1.15943, IMU_DATA, 0.56875, -0.63, -0.21875, 16392, -151, -129, , , , , 
1.16423, IMU_DATA, 0.468125, -0.555625, -0.196875, 16387, -147, -131, , , , , 
1.16903, IMU_DATA, 0.525, -0.625625, -0.175, 16380, -166, -156, , , , , 
1.1059, IMG_DATA, , , , , , , , , , Image_00011 
1.17383, IMU_DATA, 0.573125, -0.748125, -0.16625, 16337, -128, -129, , , , , 
1.17863, IMU_DATA, 0.42875, -0.70875, -0.100625, 16327, -162, -99, , , , , 
1.18343, IMU_DATA, 0.424375, -0.69125, 0.0175, 16379, -190, -102, , , , , 
1.18823, IMU_DATA, 0.51625, -0.72625, 0.06125, 16385, -186, -123, , , , , 
1.19303, IMU_DATA, 0.44625, -0.791875, 0.030625, 16381, -188, -99, , , , , 
1.19783, IMU_DATA, 0.371875, -0.7525, 0.004375, 16376, -193, -115, , , , , 
1.20263, IMU_DATA, 0.46375, -0.730625, -0.004375, 16381, -210, -162, , , , , 
1.20743, IMU_DATA, 0.46375, -0.791875, -0.0175, 16421, -271, -166, , , , , 
1.21223, IMU_DATA, 0.415625, -0.809375, -0.004375, 16409, -294, -144, , , , , 
1.21703, IMU_DATA, 0.42, -0.74375, -0.039375, 16390, -339, -192, , , , , 
1.22183, IMU_DATA, 0.459375, -0.713125, -0.0875, 16375, -359, -172, , , , , 
1.22663, IMU_DATA, 0.529375, -0.721875, -0.18375, 16379, -346, -164, , , , , 
1.23143, IMU_DATA, 0.5075, -0.739375, -0.28, 16343, -352, -170, , , , , 
1.23623, IMU_DATA, 0.4725, -0.783125, -0.20125, 16365, -382, -163, , , , , 
1.24103, IMU_DATA, 0.476875, -0.7875, -0.065625, 16370, -346, -218, , , , , 
1.24583, IMU_DATA, 0.441875, -0.721875, -0.04375, 16366, -385, -167, , , , , 
1.25063, IMU_DATA, 0.41125, -0.625625, -0.126875, 16435, -350, -238, , , , , 
1.25543, IMU_DATA, 0.35875, -0.546875, -0.266875, 16422, -316, -217, , , , , 
1.26023, IMU_DATA, 0.293125, -0.5075, -0.4025, 16429, -315, -195, , , , , 
1.26503, IMU_DATA, 0.28875, -0.53375, -0.546875, 16437, -269, -197, , , , , 
1.26983, IMU_DATA, 0.415625, -0.6125, -0.74375, 16432, -232, -227, , , , , 
1.27463, IMU_DATA, 0.424375, -0.511875, -0.90125, 16422, -197, -218, , , , , 
1.20587, IMG_DATA, , , , , , , , , , Image_00012 
1.27943, IMU_DATA, 0.39375, -0.46375, -1.0675, 16363, -97, -232, , , , , 
1.28423, IMU_DATA, 0.424375, -0.581875, -1.15062, 16349, -87, -266, , , , , 
1.28903, IMU_DATA, 0.459375, -0.6125, -1.05875, 16358, -52, -247, , , , , 
1.29383, IMU_DATA, 0.51625, -0.58625, -0.945, 16382, -30, -270, , , , , 
1.29863, IMU_DATA, 0.51625, -0.564375, -0.756875, 16393, -76, -270, , , , , 
1.30343, IMU_DATA, 0.476875, -0.55125, -0.69125, 16398, -39, -259, , , , , 
1.30823, IMU_DATA, 0.4375, -0.511875, -0.756875, 16380, 47, -260, , , , , 
1.31303, IMU_DATA, 0.455, -0.455, -0.686875, 16367, 3, -223, , , , , 
