Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
16, IMG_DATA, , , , , , , , , , Image_00000 
1.07706e+06, IMU_DATA, 91, -123, -11, 1363, 16242, -748, , , , , 
1.08186e+06, IMU_DATA, 83, -130, -12, 1360, 16235, -724, , , , , 
1.08666e+06, IMU_DATA, 98, -146, -8, 1341, 16213, -736, , , , , 
1.09146e+06, IMU_DATA, 118, -159, -14, 1359, 16211, -762, , , , , 
1.09626e+06, IMU_DATA, 122, -164, -13, 1358, 16213, -758, , , , , 
1.10106e+06, IMU_DATA, 115, -155, -11, 1373, 16223, -734, , , , , 
1.10586e+06, IMU_DATA, 108, -145, -13, 1365, 16204, -766, , , , , 
1.11066e+06, IMU_DATA, 102, -141, -10, 1368, 16201, -748, , , , , 
1.11546e+06, IMU_DATA, 103, -137, -6, 1382, 16219, -757, , , , , 
1.12026e+06, IMU_DATA, 100, -143, -15, 1365, 16237, -776, , , , , 
1.12506e+06, IMU_DATA, 100, -141, -22, 1366, 16217, -766, , , , , 
1.12986e+06, IMU_DATA, 96, -131, -26, 1345, 16210, -744, , , , , 
1.13466e+06, IMU_DATA, 102, -135, -27, 1364, 16228, -757, , , , , 
1.13946e+06, IMU_DATA, 95, -141, -27, 1346, 16211, -736, , , , , 
1.14426e+06, IMU_DATA, 97, -163, -20, 1338, 16221, -745, , , , , 
1.14906e+06, IMU_DATA, 127, -187, -19, 1351, 16219, -754, , , , , 
1.15386e+06, IMU_DATA, 120, -163, -18, 1392, 16252, -778, , , , , 
1.15866e+06, IMU_DATA, 100, -134, -14, 1346, 16224, -756, , , , , 
1.16346e+06, IMU_DATA, 91, -123, -12, 1360, 16218, -756, , , , , 
1.16826e+06, IMU_DATA, 104, -134, -5, 1344, 16197, -734, , , , , 
1.17306e+06, IMU_DATA, 109, -125, -2, 1337, 16218, -759, , , , , 
1.17786e+06, IMU_DATA, 100, -102, 2, 1362, 16220, -742, , , , , 
1115577, IMG_DATA, , , , , , , , , , Image_00011 
1.18266e+06, IMU_DATA, 86, -112, 4, 1381, 16233, -752, , , , , 
1.18746e+06, IMU_DATA, 99, -143, -9, 1365, 16225, -743, , , , , 
1.19226e+06, IMU_DATA, 114, -154, -19, 1345, 16214, -745, , , , , 
1.19706e+06, IMU_DATA, 117, -147, -21, 1364, 16225, -739, , , , , 
1.20186e+06, IMU_DATA, 102, -143, -10, 1353, 16235, -761, , , , , 
1.20666e+06, IMU_DATA, 100, -140, -7, 1358, 16215, -760, , , , , 
1.21146e+06, IMU_DATA, 106, -143, -13, 1374, 16227, -756, , , , , 
1.21626e+06, IMU_DATA, 110, -156, -21, 1359, 16225, -774, , , , , 
1.22106e+06, IMU_DATA, 108, -145, -21, 1364, 16221, -740, , , , , 
1.22586e+06, IMU_DATA, 91, -118, -25, 1372, 16229, -742, , , , , 
1.23066e+06, IMU_DATA, 82, -118, -22, 1364, 16260, -763, , , , , 
1.23546e+06, IMU_DATA, 78, -121, -9, 1362, 16216, -749, , , , , 
1.24026e+06, IMU_DATA, 80, -110, 1, 1368, 16210, -752, , , , , 
1.24506e+06, IMU_DATA, 105, -133, -4, 1364, 16214, -750, , , , , 
1.24986e+06, IMU_DATA, 127, -177, -16, 1331, 16219, -739, , , , , 
1.25466e+06, IMU_DATA, 139, -192, -22, 1351, 16209, -752, , , , , 
1.25946e+06, IMU_DATA, 106, -149, -25, 1336, 16213, -742, , , , , 
1.26426e+06, IMU_DATA, 86, -118, -14, 1344, 16198, -759, , , , , 
1.26906e+06, IMU_DATA, 96, -117, -17, 1366, 16215, -752, , , , , 
1.27386e+06, IMU_DATA, 91, -121, -17, 1358, 16227, -764, , , , , 
1.27866e+06, IMU_DATA, 80, -123, -16, 1356, 16205, -750, , , , , 
1.28346e+06, IMU_DATA, 79, -142, -12, 1360, 16237, -751, , , , , 
1215571, IMG_DATA, , , , , , , , , , Image_00012 
1.28826e+06, IMU_DATA, 86, -150, 3, 1366, 16209, -730, , , , , 
1.29306e+06, IMU_DATA, 109, -147, 3, 1349, 16203, -742, , , , , 
1.29786e+06, IMU_DATA, 116, -152, -3, 1328, 16244, -736, , , , , 
1.30266e+06, IMU_DATA, 105, -157, -11, 1350, 16233, -777, , , , , 
1.30746e+06, IMU_DATA, 104, -140, -14, 1361, 16234, -747, , , , , 
1.31226e+06, IMU_DATA, 113, -131, -13, 1357, 16218, -765, , , , , 
1.31706e+06, IMU_DATA, 120, -132, -10, 1354, 16230, -756, , , , , 
1.32186e+06, IMU_DATA, 126, -140, -11, 1357, 16225, -754, , , , , 
1.32666e+06, IMU_DATA, 143, -150, -13, 1354, 16234, -740, , , , , 
1.33146e+06, IMU_DATA, 144, -140, -16, 1346, 16226, -750, , , , , 
1.33626e+06, IMU_DATA, 126, -145, -9, 1361, 16231, -765, , , , , 
1.34106e+06, IMU_DATA, 120, -160, -13, 1353, 16249, -774, , , , , 
1.34586e+06, IMU_DATA, 123, -155, -16, 1348, 16225, -750, , , , , 
1.35066e+06, IMU_DATA, 121, -152, -22, 1352, 16203, -751, , , , , 
1.35546e+06, IMU_DATA, 131, -157, -24, 1372, 16234, -746, , , , , 
1.36026e+06, IMU_DATA, 129, -148, -13, 1358, 16211, -762, , , , , 
1.36506e+06, IMU_DATA, 116, -134, -6, 1367, 16223, -749, , , , , 
1.36986e+06, IMU_DATA, 112, -136, -20, 1395, 16210, -752, , , , , 
1.37466e+06, IMU_DATA, 103, -123, -25, 1363, 16230, -750, , , , , 
1.37946e+06, IMU_DATA, 94, -119, -14, 1337, 16225, -739, , , , , 
1.38426e+06, IMU_DATA, 108, -137, -7, 1362, 16230, -739, , , , , 
1.38906e+06, IMU_DATA, 104, -143, -12, 1340, 16207, -761, , , , , 
1315589, IMG_DATA, , , , , , , , , , Image_00013 
1.39386e+06, IMU_DATA, 113, -159, -29, 1348, 16210, -745, , , , , 
1.39866e+06, IMU_DATA, 126, -175, -41, 1366, 16229, -744, , , , , 
1.40346e+06, IMU_DATA, 121, -154, -24, 1350, 16222, -745, , , , , 
1.40826e+06, IMU_DATA, 117, -134, 4, 1366, 16224, -756, , , , , 
1.41306e+06, IMU_DATA, 119, -136, -3, 1364, 16237, -732, , , , , 
1.41786e+06, IMU_DATA, 114, -134, -27, 1350, 16216, -756, , , , , 
1.42266e+06, IMU_DATA, 114, -143, -27, 1360, 16218, -774, , , , , 
1.42746e+06, IMU_DATA, 105, -152, -14, 1346, 16226, -749, , , , , 
1.43226e+06, IMU_DATA, 89, -149, -10, 1361, 16220, -734, , , , , 
1.43706e+06, IMU_DATA, 100, -144, -18, 1360, 16220, -765, , , , , 
1.44186e+06, IMU_DATA, 96, -136, -21, 1350, 16234, -744, , , , , 
1.44666e+06, IMU_DATA, 101, -134, -26, 1355, 16220, -750, , , , , 
1.45146e+06, IMU_DATA, 116, -144, -30, 1347, 16202, -715, , , , , 
1.45626e+06, IMU_DATA, 107, -128, -18, 1340, 16236, -732, , , , , 
1.46106e+06, IMU_DATA, 97, -113, -6, 1351, 16238, -741, , , , , 
1.46586e+06, IMU_DATA, 83, -120, -1, 1343, 16222, -754, , , , , 
1.47066e+06, IMU_DATA, 81, -126, -9, 1346, 16219, -756, , , , , 
1.47546e+06, IMU_DATA, 85, -117, -8, 1364, 16244, -750, , , , , 
1.48026e+06, IMU_DATA, 75, -115, -2, 1367, 16240, -749, , , , , 
1.48506e+06, IMU_DATA, 75, -113, -5, 1368, 16222, -759, , , , , 
1.48986e+06, IMU_DATA, 92, -123, -21, 1368, 16231, -747, , , , , 
1.49466e+06, IMU_DATA, 103, -139, -20, 1360, 16222, -754, , , , , 
1415578, IMG_DATA, , , , , , , , , , Image_00014 
1.49946e+06, IMU_DATA, 90, -131, -13, 1344, 16198, -754, , , , , 
1.50426e+06, IMU_DATA, 81, -116, -11, 1356, 16208, -743, , , , , 
1.50906e+06, IMU_DATA, 92, -119, -19, 1355, 16211, -754, , , , , 
1.51386e+06, IMU_DATA, 112, -131, -21, 1367, 16225, -752, , , , , 
1.51866e+06, IMU_DATA, 108, -142, -16, 1370, 16220, -734, , , , , 
1.52346e+06, IMU_DATA, 114, -140, -15, 1347, 16219, -753, , , , , 
1.52826e+06, IMU_DATA, 124, -152, -25, 1362, 16218, -757, , , , , 
1.53306e+06, IMU_DATA, 113, -173, -27, 1349, 16223, -755, , , , , 
1.53786e+06, IMU_DATA, 105, -175, -31, 1333, 16214, -753, , , , , 
1.54266e+06, IMU_DATA, 97, -132, -12, 1332, 16234, -753, , , , , 
1.54746e+06, IMU_DATA, 96, -110, 3, 1342, 16225, -740, , , , , 
1.55226e+06, IMU_DATA, 109, -120, -1, 1357, 16253, -745, , , , , 
1.55706e+06, IMU_DATA, 98, -107, -5, 1365, 16221, -754, , , , , 
1.56186e+06, IMU_DATA, 79, -100, -3, 1338, 16230, -784, , , , , 
1.56666e+06, IMU_DATA, 89, -130, -8, 1363, 16244, -746, , , , , 
