Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.809583, IMU_DATA, 0.538125, -0.765625, -0.091875, 16380, -18, -366, , , , , 
0.814383, IMU_DATA, 0.529375, -0.7525, -0.118125, 16394, -6, -381, , , , , 
0.819182, IMU_DATA, 0.503125, -0.63, -0.09625, 16397, 7, -391, , , , , 
0.823982, IMU_DATA, 0.538125, -0.660625, -0.07875, 16397, -36, -373, , , , , 
0.828783, IMU_DATA, 0.525, -0.65625, -0.065625, 16372, -4, -398, , , , , 
0.833582, IMU_DATA, 0.58625, -0.77875, -0.118125, 16370, 1, -382, , , , , 
0.838383, IMU_DATA, 0.63875, -0.86625, -0.161875, 16374, -11, -397, , , , , 
0.843183, IMU_DATA, 0.476875, -0.643125, -0.09625, 16371, -32, -383, , , , , 
0.847982, IMU_DATA, 0.406875, -0.51625, -0.0525, 16394, -4, -400, , , , , 
0.852782, IMU_DATA, 0.48125, -0.616875, -0.048125, 16393, 2, -373, , , , , 
0.806496, IMG_DATA, , , , , , , , , , Image_00008 
0.857583, IMU_DATA, 0.450625, -0.573125, -0.048125, 16366, -14, -390, , , , , 
0.862382, IMU_DATA, 0.42, -0.538125, -0.074375, 16372, -11, -382, , , , , 
0.867183, IMU_DATA, 0.441875, -0.625625, -0.0875, 16377, -31, -389, , , , , 
0.871983, IMU_DATA, 0.48125, -0.669375, -0.083125, 16378, -42, -375, , , , , 
0.876782, IMU_DATA, 0.503125, -0.713125, -0.0525, 16366, -4, -374, , , , , 
0.881582, IMU_DATA, 0.5075, -0.713125, -0.035, 16367, -42, -376, , , , , 
0.886383, IMU_DATA, 0.511875, -0.6475, -0.0525, 16377, -45, -383, , , , , 
0.891182, IMU_DATA, 0.51625, -0.625625, -0.126875, 16357, -12, -382, , , , , 
0.895983, IMU_DATA, 0.48125, -0.651875, -0.16625, 16384, -5, -362, , , , , 
0.900783, IMU_DATA, 0.450625, -0.713125, -0.161875, 16393, -4, -393, , , , , 
0.905582, IMU_DATA, 0.503125, -0.77, -0.153125, 16401, 10, -395, , , , , 
0.910382, IMU_DATA, 0.58625, -0.791875, -0.16625, 16403, 8, -386, , , , , 
0.915183, IMU_DATA, 0.455, -0.625625, -0.16625, 16386, 8, -395, , , , , 
0.919982, IMU_DATA, 0.35, -0.5425, -0.109375, 16373, -22, -374, , , , , 
0.924783, IMU_DATA, 0.459375, -0.643125, -0.0525, 16349, -17, -391, , , , , 
0.929583, IMU_DATA, 0.511875, -0.67375, -0.0875, 16376, -29, -395, , , , , 
0.934382, IMU_DATA, 0.634375, -0.875, -0.14, 16390, -33, -371, , , , , 
0.939182, IMU_DATA, 0.660625, -0.905625, -0.16625, 16359, 0, -365, , , , , 
0.943983, IMU_DATA, 0.651875, -0.83125, -0.16625, 16368, -10, -392, , , , , 
0.948782, IMU_DATA, 0.555625, -0.69125, -0.09625, 16376, -32, -393, , , , , 
0.953583, IMU_DATA, 0.503125, -0.63875, -0.074375, 16396, -9, -402, , , , , 
0.958383, IMU_DATA, 0.385, -0.56, -0.153125, 16392, -8, -376, , , , , 
0.906487, IMG_DATA, , , , , , , , , , Image_00009 
0.963182, IMU_DATA, 0.328125, -0.5775, -0.21, 16397, 0, -382, , , , , 
0.967982, IMU_DATA, 0.3325, -0.63, -0.170625, 16393, -19, -375, , , , , 
0.972783, IMU_DATA, 0.42875, -0.616875, -0.1225, 16387, -7, -392, , , , , 
0.977582, IMU_DATA, 0.511875, -0.65625, -0.091875, 16380, -26, -382, , , , , 
0.982382, IMU_DATA, 0.5075, -0.76125, -0.11375, 16378, -5, -390, , , , , 
0.987183, IMU_DATA, 0.46375, -0.735, -0.153125, 16356, -7, -404, , , , , 
0.991982, IMU_DATA, 0.450625, -0.7175, -0.135625, 16356, -16, -404, , , , , 
0.996782, IMU_DATA, 0.4375, -0.72625, -0.100625, 16381, -28, -388, , , , , 
1.00158, IMU_DATA, 0.48125, -0.7525, -0.07875, 16379, -25, -396, , , , , 
1.00638, IMU_DATA, 0.62125, -0.79625, -0.083125, 16391, -14, -394, , , , , 
1.01118, IMU_DATA, 0.573125, -0.721875, -0.13125, 16401, 6, -379, , , , , 
1.01598, IMU_DATA, 0.450625, -0.63875, -0.16625, 16386, -11, -385, , , , , 
1.02078, IMU_DATA, 0.48125, -0.660625, -0.118125, 16364, -8, -395, , , , , 
1.02558, IMU_DATA, 0.529375, -0.79625, -0.074375, 16368, -31, -376, , , , , 
1.03038, IMU_DATA, 0.503125, -0.774375, -0.091875, 16362, 5, -364, , , , , 
1.03518, IMU_DATA, 0.485625, -0.79625, -0.11375, 16382, 18, -406, , , , , 
1.03998, IMU_DATA, 0.433125, -0.70875, -0.13125, 16381, 11, -396, , , , , 
1.04478, IMU_DATA, 0.5425, -0.735, -0.100625, 16346, -19, -395, , , , , 
1.04958, IMU_DATA, 0.60375, -0.695625, -0.035, 16388, -27, -403, , , , , 
1.05438, IMU_DATA, 0.503125, -0.608125, -0.056875, 16383, -22, -396, , , , , 
1.05918, IMU_DATA, 0.389375, -0.63, -0.07875, 16367, -20, -379, , , , , 
1.06398, IMU_DATA, 0.485625, -0.748125, -0.09625, 16375, 0, -378, , , , , 
1.00648, IMG_DATA, , , , , , , , , , Image_00010 
1.06878, IMU_DATA, 0.520625, -0.783125, -0.118125, 16373, -23, -391, , , , , 
1.07358, IMU_DATA, 0.60375, -0.88375, -0.170625, 16393, -29, -376, , , , , 
1.07838, IMU_DATA, 0.56875, -0.765625, -0.161875, 16352, -51, -384, , , , , 
1.08318, IMU_DATA, 0.538125, -0.67375, -0.074375, 16372, -14, -385, , , , , 
1.08798, IMU_DATA, 0.53375, -0.634375, -0.04375, 16378, 12, -376, , , , , 
1.09278, IMU_DATA, 0.538125, -0.63875, -0.11375, 16381, -14, -376, , , , , 
1.09758, IMU_DATA, 0.525, -0.713125, -0.13125, 16363, -12, -385, , , , , 
1.10238, IMU_DATA, 0.520625, -0.72625, -0.144375, 16356, -11, -388, , , , , 
1.10718, IMU_DATA, 0.58625, -0.77875, -0.14, 16375, -31, -385, , , , , 
1.11198, IMU_DATA, 0.6475, -0.844375, -0.11375, 16406, -10, -360, , , , , 
1.11678, IMU_DATA, 0.599375, -0.84875, -0.118125, 16387, 3, -374, , , , , 
1.12158, IMU_DATA, 0.56, -0.83125, -0.118125, 16375, -21, -395, , , , , 
1.12638, IMU_DATA, 0.494375, -0.7525, -0.118125, 16366, -6, -373, , , , , 
1.13118, IMU_DATA, 0.49875, -0.756875, -0.161875, 16364, -9, -369, , , , , 
1.13598, IMU_DATA, 0.581875, -0.88375, -0.126875, 16387, -51, -417, , , , , 
1.14078, IMU_DATA, 0.455, -0.7875, -0.083125, 16359, 1, -405, , , , , 
1.14558, IMU_DATA, 0.49, -0.748125, -0.11375, 16357, 1, -396, , , , , 
1.15038, IMU_DATA, 0.53375, -0.704375, -0.1225, 16378, -28, -407, , , , , 
1.15518, IMU_DATA, 0.511875, -0.58625, -0.065625, 16413, -30, -391, , , , , 
1.15998, IMU_DATA, 0.65625, -0.70875, -0.04375, 16360, -3, -413, , , , , 
1.16478, IMU_DATA, 0.70875, -0.84875, -0.11375, 16372, -12, -398, , , , , 
1.16958, IMU_DATA, 0.56, -0.713125, -0.1225, 16391, -13, -389, , , , , 
1.1065, IMG_DATA, , , , , , , , , , Image_00011 
1.17438, IMU_DATA, 0.5775, -0.69125, -0.16625, 16368, -10, -429, , , , , 
1.17918, IMU_DATA, 0.49875, -0.616875, -0.1225, 16370, -26, -373, , , , , 
1.18398, IMU_DATA, 0.48125, -0.62125, -0.07, 16355, -47, -355, , , , , 
1.18878, IMU_DATA, 0.4725, -0.704375, -0.1225, 16375, -17, -391, , , , , 
1.19358, IMU_DATA, 0.48125, -0.735, -0.161875, 16357, -13, -374, , , , , 
1.19838, IMU_DATA, 0.459375, -0.721875, -0.09625, 16363, -38, -384, , , , , 
1.20318, IMU_DATA, 0.433125, -0.721875, -0.0875, 16374, -15, -412, , , , , 
1.20798, IMU_DATA, 0.415625, -0.721875, -0.07875, 16379, -30, -393, , , , , 
1.21278, IMU_DATA, 0.424375, -0.665, -0.065625, 16360, -1, -370, , , , , 
1.21758, IMU_DATA, 0.476875, -0.651875, -0.074375, 16379, -9, -385, , , , , 
1.22238, IMU_DATA, 0.511875, -0.713125, -0.091875, 16387, -17, -385, , , , , 
1.22718, IMU_DATA, 0.51625, -0.7175, -0.09625, 16392, -8, -382, , , , , 
1.23198, IMU_DATA, 0.49, -0.695625, -0.13125, 16389, -7, -403, , , , , 
1.23678, IMU_DATA, 0.4725, -0.74375, -0.144375, 16399, -12, -392, , , , , 
1.24158, IMU_DATA, 0.476875, -0.79625, -0.161875, 16385, -31, -386, , , , , 
1.24638, IMU_DATA, 0.511875, -0.791875, -0.21875, 16384, 6, -393, , , , , 
1.25118, IMU_DATA, 0.616875, -0.826875, -0.20125, 16358, -10, -392, , , , , 
1.25598, IMU_DATA, 0.634375, -0.805, -0.09625, 16353, -14, -420, , , , , 
