Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
3.05176e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.0328674, IMG_DATA, , , , , , , , , , Image_00001 
0.0672607, IMG_DATA, , , , , , , , , , Image_00002 
0.10025, IMG_DATA, , , , , , , , , , Image_00003 
0.133667, IMG_DATA, , , , , , , , , , Image_00004 
0.30571, IMU_DATA, 0.665, -0.669375, 1.00625, -116, -1596, -16456, , , , , 
0.306015, IMU_DATA, 0.555625, -1.11125, -0.564375, -156, -1656, -16415, , , , , 
0.306305, IMU_DATA, -0.21875, 0.109375, -0.7875, -118, -1663, -16412, , , , , 
0.30661, IMU_DATA, 0.555625, 0.0, 0.44625, -136, -1708, -16420, , , , , 
0.3069, IMU_DATA, 0.669375, -1.11125, 0.555625, -192, -1589, -16443, , , , , 
0.307205, IMU_DATA, 0.888125, -1.22062, -1.3475, -136, -1571, -16460, , , , , 
0.30751, IMU_DATA, 0.888125, -0.223125, 1.00625, -153, -1657, -16472, , , , , 
0.307816, IMU_DATA, 0.9975, -0.665, 0.21875, -155, -1696, -16555, , , , , 
0.308105, IMU_DATA, 0.888125, 0.11375, -1.12437, -140, -1636, -16414, , , , , 
0.308411, IMU_DATA, 0.669375, -0.223125, 0.56, -122, -1700, -16462, , , , , 
0.308701, IMU_DATA, 1.00187, -0.77875, 0.555625, -200, -1575, -16466, , , , , 
0.309006, IMU_DATA, 0.555625, -0.555625, -0.564375, -158, -1649, -16376, , , , , 
0.309311, IMU_DATA, 0.77875, -0.888125, -0.118125, -157, -1610, -16402, , , , , 
0.309616, IMU_DATA, 1.11125, -0.555625, 0.8925, -157, -1677, -16433, , , , , 
0.309906, IMU_DATA, 0.669375, -0.77875, -1.79812, -48, -1636, -16428, , , , , 
0.310211, IMU_DATA, 0.2275, 0.109375, 0.3325, -93, -1616, -16406, , , , , 
0.310501, IMU_DATA, 0.555625, -1.55312, 1.12, -113, -1674, -16370, , , , , 
0.310806, IMU_DATA, 0.44625, -0.555625, -1.12437, -155, -1585, -16453, , , , , 
0.311111, IMU_DATA, 0.44625, -1.00187, 0.555625, -72, -1585, -16442, , , , , 
0.311417, IMU_DATA, 0.004375, -0.555625, 0.44625, -57, -1634, -16476, , , , , 
0.311707, IMU_DATA, 0.44625, -1.55312, -0.90125, -99, -1655, -16441, , , , , 
0.312012, IMU_DATA, 0.223125, -0.3325, -0.004375, -82, -1708, -16459, , , , , 
0.312302, IMU_DATA, 1.00187, -1.00187, 0.555625, -79, -1643, -16499, , , , , 
0.312607, IMU_DATA, -0.4375, -1.33437, -0.90125, -72, -1643, -16454, , , , , 
0.312912, IMU_DATA, 1.11125, -1.11125, -0.90125, -160, -1608, -16372, , , , , 
0.313217, IMU_DATA, -0.21875, -0.555625, 1.56625, -80, -1643, -16391, , , , , 
0.313507, IMU_DATA, 1.22062, -0.669375, -0.7875, -183, -1559, -16407, , , , , 
0.313812, IMU_DATA, 0.223125, -0.77875, -0.004375, -206, -1703, -16429, , , , , 
0.314102, IMU_DATA, 0.44625, -0.44625, 0.783125, -194, -1674, -16413, , , , , 
0.314407, IMU_DATA, 1.10687, -0.555625, -0.450625, -31, -1658, -16412, , , , , 
0.314713, IMU_DATA, 0.669375, -0.77875, -0.450625, -80, -1695, -16428, , , , , 
0.315002, IMU_DATA, 0.77875, -0.44625, 1.45687, -119, -1568, -16465, , , , , 
0.315308, IMU_DATA, 0.336875, -1.22062, -0.90125, -164, -1616, -16492, , , , , 
0.315613, IMU_DATA, 0.11375, 0.3325, 0.109375, -150, -1640, -16427, , , , , 
0.315903, IMU_DATA, 1.22062, -1.00187, 1.22937, -145, -1649, -16361, , , , , 
0.316208, IMU_DATA, 0.77875, -1.22062, -0.90125, -124, -1690, -16411, , , , , 
0.316513, IMU_DATA, 0.555625, -0.555625, -0.564375, -186, -1610, -16432, , , , , 
0.316803, IMU_DATA, 0.11375, -0.555625, 1.11562, -145, -1628, -16381, , , , , 
0.317108, IMU_DATA, 0.555625, -0.555625, -0.450625, -182, -1595, -16440, , , , , 
0.317413, IMU_DATA, 0.223125, -1.22062, -1.3475, -104, -1576, -16487, , , , , 
0.317703, IMU_DATA, 0.77875, -0.11375, 1.68, -151, -1707, -16376, , , , , 
0.318008, IMU_DATA, 0.888125, -0.888125, -0.450625, -9, -1691, -16466, , , , , 
0.318298, IMU_DATA, 0.11375, -0.77875, -0.90125, -54, -1658, -16441, , , , , 
0.318604, IMU_DATA, 0.77875, -0.669375, 0.669375, -132, -1656, -16391, , , , , 
0.318909, IMU_DATA, 0.11375, -0.3325, 0.3325, -170, -1522, -16433, , , , , 
0.319214, IMU_DATA, 0.3325, -0.77875, -1.91187, -56, -1548, -16421, , , , , 
0.319504, IMU_DATA, 0.9975, -1.00187, 1.45687, 2, -1645, -16404, , , , , 
0.319809, IMU_DATA, 0.2275, -0.888125, 0.3325, -98, -1635, -16430, , , , , 
0.320099, IMU_DATA, 0.336875, -0.3325, -1.23812, -232, -1660, -16435, , , , , 
0.320404, IMU_DATA, 0.223125, -0.888125, 0.555625, -109, -1568, -16453, , , , , 
0.320709, IMU_DATA, 0.555625, -0.336875, 0.109375, -189, -1648, -16462, , , , , 
0.321014, IMU_DATA, -0.4375, -0.888125, -1.68437, -173, -1626, -16523, , , , , 
0.321304, IMU_DATA, 0.9975, -0.888125, 0.669375, -34, -1612, -16482, , , , , 
0.321609, IMU_DATA, 0.223125, -1.00187, 0.44625, -39, -1546, -16391, , , , , 
0.321899, IMU_DATA, 0.004375, -0.44625, -1.015, -116, -1575, -16352, , , , , 
