Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
813165, IMG_DATA, , , , , , , , , , Image_00008 
864282.0, IMU_DATA, 94, -138, -14, 30, 16264, -790, , , , , 
869082.0, IMU_DATA, 115, -155, -23, 58, 16281, -792, , , , , 
873882.0, IMU_DATA, 122, -161, -26, 47, 16268, -803, , , , , 
878682.0, IMU_DATA, 121, -152, -20, 61, 16271, -796, , , , , 
883482.0, IMU_DATA, 113, -141, -21, 46, 16288, -799, , , , , 
888282.0, IMU_DATA, 113, -145, -26, 62, 16270, -795, , , , , 
893082.0, IMU_DATA, 123, -147, -25, 63, 16275, -794, , , , , 
897882.0, IMU_DATA, 131, -155, -28, 39, 16270, -792, , , , , 
902682.0, IMU_DATA, 127, -156, -26, 48, 16255, -801, , , , , 
907482.0, IMU_DATA, 117, -157, -20, 59, 16263, -802, , , , , 
912282.0, IMU_DATA, 123, -160, -15, 63, 16281, -804, , , , , 
917082.0, IMU_DATA, 125, -153, -15, 66, 16281, -797, , , , , 
921882.0, IMU_DATA, 144, -161, -28, 73, 16257, -793, , , , , 
926682.0, IMU_DATA, 140, -169, -30, 67, 16284, -789, , , , , 
931482.0, IMU_DATA, 124, -154, -21, 71, 16279, -812, , , , , 
936282.0, IMU_DATA, 117, -137, -18, 81, 16282, -795, , , , , 
941082.0, IMU_DATA, 112, -132, -16, 44, 16277, -782, , , , , 
945882.0, IMU_DATA, 94, -140, -22, 45, 16292, -800, , , , , 
950682.0, IMU_DATA, 92, -143, -15, 35, 16264, -797, , , , , 
955482.0, IMU_DATA, 105, -125, -17, 64, 16285, -784, , , , , 
960282.0, IMU_DATA, 121, -117, -32, 44, 16288, -801, , , , , 
965082.0, IMU_DATA, 130, -136, -28, 51, 16290, -791, , , , , 
913178, IMG_DATA, , , , , , , , , , Image_00009 
969882.0, IMU_DATA, 129, -156, -15, 45, 16284, -784, , , , , 
974682.0, IMU_DATA, 123, -162, -12, 57, 16282, -787, , , , , 
979482.0, IMU_DATA, 115, -169, -21, 59, 16281, -793, , , , , 
984282.0, IMU_DATA, 103, -177, -19, 91, 16295, -788, , , , , 
989082.0, IMU_DATA, 113, -160, -14, 66, 16274, -798, , , , , 
993882.0, IMU_DATA, 114, -143, -24, 74, 16275, -776, , , , , 
998682.0, IMU_DATA, 103, -148, -33, 70, 16291, -806, , , , , 
1.00348e+06, IMU_DATA, 105, -144, -21, 80, 16290, -810, , , , , 
1.00828e+06, IMU_DATA, 96, -135, -5, 64, 16275, -792, , , , , 
1.01308e+06, IMU_DATA, 93, -136, -14, 19, 16246, -808, , , , , 
1.01788e+06, IMU_DATA, 102, -140, -29, 40, 16275, -784, , , , , 
1.02268e+06, IMU_DATA, 110, -146, -28, 11, 16264, -803, , , , , 
1.02748e+06, IMU_DATA, 95, -138, -17, 46, 16268, -792, , , , , 
1.03228e+06, IMU_DATA, 78, -125, -16, 60, 16266, -800, , , , , 
1.03708e+06, IMU_DATA, 75, -114, -18, 22, 16275, -782, , , , , 
1.04188e+06, IMU_DATA, 94, -123, -12, 62, 16283, -809, , , , , 
1.04668e+06, IMU_DATA, 121, -157, -8, 44, 16272, -802, , , , , 
1.05148e+06, IMU_DATA, 124, -168, -15, 86, 16270, -782, , , , , 
1.05628e+06, IMU_DATA, 114, -151, -23, 68, 16278, -826, , , , , 
1.06108e+06, IMU_DATA, 115, -137, -25, 73, 16277, -819, , , , , 
1.06588e+06, IMU_DATA, 105, -144, -23, 47, 16264, -779, , , , , 
1.07068e+06, IMU_DATA, 92, -152, -20, 56, 16290, -804, , , , , 
1013181, IMG_DATA, , , , , , , , , , Image_00010 
1.07548e+06, IMU_DATA, 80, -136, -14, 48, 16286, -788, , , , , 
1.08028e+06, IMU_DATA, 85, -131, -16, 42, 16270, -802, , , , , 
1.08508e+06, IMU_DATA, 116, -140, -22, 38, 16275, -796, , , , , 
1.08988e+06, IMU_DATA, 127, -154, -28, 30, 16256, -797, , , , , 
1.09468e+06, IMU_DATA, 112, -159, -27, 60, 16278, -796, , , , , 
1.09948e+06, IMU_DATA, 104, -155, -26, 71, 16278, -785, , , , , 
1.10428e+06, IMU_DATA, 113, -159, -28, 60, 16262, -793, , , , , 
1.10908e+06, IMU_DATA, 128, -168, -27, 66, 16283, -800, , , , , 
1.11388e+06, IMU_DATA, 138, -166, -36, 70, 16260, -781, , , , , 
1.11868e+06, IMU_DATA, 150, -173, -40, 90, 16279, -792, , , , , 
1.12348e+06, IMU_DATA, 130, -155, -35, 72, 16273, -798, , , , , 
1.12828e+06, IMU_DATA, 108, -143, -40, 68, 16271, -804, , , , , 
1.13308e+06, IMU_DATA, 118, -153, -33, 58, 16280, -778, , , , , 
1.13788e+06, IMU_DATA, 128, -154, -23, 47, 16278, -784, , , , , 
1.14268e+06, IMU_DATA, 98, -135, -23, 58, 16279, -784, , , , , 
1.14748e+06, IMU_DATA, 87, -159, -25, 38, 16260, -795, , , , , 
1.15228e+06, IMU_DATA, 115, -212, -31, 30, 16277, -800, , , , , 
1.15708e+06, IMU_DATA, 120, -194, -31, 39, 16290, -782, , , , , 
1.16188e+06, IMU_DATA, 126, -174, -29, 24, 16285, -805, , , , , 
1.16668e+06, IMU_DATA, 130, -173, -22, 49, 16282, -795, , , , , 
1.17148e+06, IMU_DATA, 133, -169, -21, 61, 16272, -804, , , , , 
1.17628e+06, IMU_DATA, 129, -144, -22, 50, 16268, -782, , , , , 
1113176, IMG_DATA, , , , , , , , , , Image_00011 
1.18108e+06, IMU_DATA, 126, -131, -22, 62, 16279, -787, , , , , 
1.18588e+06, IMU_DATA, 112, -137, -17, 68, 16272, -794, , , , , 
1.19068e+06, IMU_DATA, 107, -149, -18, 55, 16270, -815, , , , , 
1.19548e+06, IMU_DATA, 102, -154, -31, 76, 16276, -807, , , , , 
1.20028e+06, IMU_DATA, 110, -161, -31, 35, 16277, -793, , , , , 
1.20508e+06, IMU_DATA, 115, -165, -22, 59, 16266, -798, , , , , 
1.20988e+06, IMU_DATA, 111, -157, -16, 43, 16279, -788, , , , , 
1.21468e+06, IMU_DATA, 113, -147, -21, 39, 16284, -806, , , , , 
1.21948e+06, IMU_DATA, 119, -150, -33, 78, 16269, -795, , , , , 
1.22428e+06, IMU_DATA, 120, -158, -34, 54, 16282, -767, , , , , 
1.22908e+06, IMU_DATA, 106, -148, -22, 76, 16269, -795, , , , , 
1.23388e+06, IMU_DATA, 96, -145, -26, 56, 16265, -788, , , , , 
1.23868e+06, IMU_DATA, 87, -138, -26, 48, 16275, -800, , , , , 
1.24348e+06, IMU_DATA, 86, -149, -15, 52, 16254, -797, , , , , 
1.24828e+06, IMU_DATA, 116, -162, -13, 57, 16265, -780, , , , , 
1.25308e+06, IMU_DATA, 133, -154, -24, 49, 16276, -818, , , , , 
1.25788e+06, IMU_DATA, 117, -141, -22, 38, 16266, -782, , , , , 
1.26268e+06, IMU_DATA, 102, -144, -23, 53, 16262, -788, , , , , 
1.26748e+06, IMU_DATA, 104, -163, -29, 65, 16249, -800, , , , , 
1.27228e+06, IMU_DATA, 126, -165, -26, 45, 16269, -788, , , , , 
1.27708e+06, IMU_DATA, 125, -151, -20, 48, 16278, -792, , , , , 
1.28188e+06, IMU_DATA, 111, -135, -18, 46, 16272, -800, , , , , 
1213186, IMG_DATA, , , , , , , , , , Image_00012 
1.28668e+06, IMU_DATA, 106, -133, -14, 49, 16274, -786, , , , , 
1.29148e+06, IMU_DATA, 112, -133, -18, 57, 16265, -797, , , , , 
1.29628e+06, IMU_DATA, 124, -152, -27, 63, 16277, -798, , , , , 
1.30108e+06, IMU_DATA, 123, -171, -10, 48, 16268, -782, , , , , 
1.30588e+06, IMU_DATA, 120, -167, 1, 49, 16274, -797, , , , , 
1.31068e+06, IMU_DATA, 135, -167, -17, 67, 16283, -804, , , , , 
1.31548e+06, IMU_DATA, 130, -167, -13, 70, 16290, -802, , , , , 
1.32028e+06, IMU_DATA, 119, -162, -4, 48, 16282, -779, , , , , 
1.32508e+06, IMU_DATA, 125, -188, -13, 55, 16267, -784, , , , , 
1.32988e+06, IMU_DATA, 134, -203, -23, 34, 16298, -810, , , , , 
1.33468e+06, IMU_DATA, 135, -178, -25, 72, 16272, -807, , , , , 
1.33948e+06, IMU_DATA, 119, -149, -24, 51, 16263, -788, , , , , 
1.34428e+06, IMU_DATA, 115, -153, -22, 80, 16270, -804, , , , , 
1.34908e+06, IMU_DATA, 115, -183, -19, 32, 16289, -806, , , , , 
1.35388e+06, IMU_DATA, 121, -184, -16, 75, 16263, -804, , , , , 
1.35868e+06, IMU_DATA, 121, -169, -19, 46, 16264, -780, , , , , 
1.36348e+06, IMU_DATA, 120, -171, -27, 55, 16269, -773, , , , , 
1.36828e+06, IMU_DATA, 116, -171, -23, 67, 16260, -775, , , , , 
1.37308e+06, IMU_DATA, 107, -146, -19, 53, 16274, -809, , , , , 
1.37788e+06, IMU_DATA, 102, -136, -28, 61, 16280, -793, , , , , 
1.38268e+06, IMU_DATA, 111, -143, -34, 77, 16278, -784, , , , , 
1.38748e+06, IMU_DATA, 113, -143, -30, 47, 16267, -796, , , , , 
1313168, IMG_DATA, , , , , , , , , , Image_00013 
1.39228e+06, IMU_DATA, 105, -144, -15, 48, 16271, -801, , , , , 
1.39708e+06, IMU_DATA, 116, -154, -4, 43, 16280, -802, , , , , 
1.40188e+06, IMU_DATA, 122, -152, -5, 54, 16268, -810, , , , , 
1.40668e+06, IMU_DATA, 116, -145, -15, 56, 16272, -799, , , , , 
1.41148e+06, IMU_DATA, 110, -153, -24, 71, 16266, -796, , , , , 
1.41628e+06, IMU_DATA, 121, -166, -28, 57, 16251, -801, , , , , 
1.42108e+06, IMU_DATA, 137, -155, -26, 42, 16278, -778, , , , , 
1.42588e+06, IMU_DATA, 135, -156, -22, 42, 16280, -794, , , , , 
1.43068e+06, IMU_DATA, 108, -171, -18, 57, 16287, -793, , , , , 
1.43548e+06, IMU_DATA, 98, -171, -15, 42, 16274, -787, , , , , 
1.44028e+06, IMU_DATA, 116, -170, -23, 49, 16291, -799, , , , , 
1.44508e+06, IMU_DATA, 132, -173, -26, 37, 16275, -801, , , , , 
1.44988e+06, IMU_DATA, 140, -172, -21, 86, 16281, -793, , , , , 
1.45468e+06, IMU_DATA, 120, -148, -25, 30, 16255, -797, , , , , 
1.45948e+06, IMU_DATA, 108, -139, -29, 45, 16278, -784, , , , , 
1.46428e+06, IMU_DATA, 107, -133, -26, 57, 16287, -793, , , , , 
1.46908e+06, IMU_DATA, 110, -137, -25, 42, 16274, -808, , , , , 
1.47388e+06, IMU_DATA, 102, -146, -21, 70, 16290, -818, , , , , 
1.47868e+06, IMU_DATA, 114, -142, -8, 54, 16272, -801, , , , , 
1.48348e+06, IMU_DATA, 131, -132, -19, 28, 16249, -809, , , , , 
1.48828e+06, IMU_DATA, 119, -141, -36, 38, 16275, -818, , , , , 
1.49308e+06, IMU_DATA, 130, -167, -35, 60, 16267, -803, , , , , 
1413182, IMG_DATA, , , , , , , , , , Image_00014 
1.49788e+06, IMU_DATA, 103, -150, -22, 43, 16266, -801, , , , , 
1.50268e+06, IMU_DATA, 95, -146, -9, 44, 16272, -804, , , , , 
1.50748e+06, IMU_DATA, 113, -153, -6, 62, 16259, -830, , , , , 
1.51228e+06, IMU_DATA, 121, -157, -11, 47, 16263, -808, , , , , 
